title,company,location,salary,skills,experience,description
Software Engineer,TechCorp Solutions,Bangalore India,₹8 00 000 - ₹12 00 000,"JavaScript React Node.js TypeScript MongoDB AWS Docker",Entry Level,Looking for fresh graduates with strong programming fundamentals and web development skills.
Data Analyst,Analytics Hub,Hyderabad India,₹6 00 000 - ₹9 00 000,"Python SQL Excel PowerBI Tableau R Statistics",Entry Level,Seeking candidates with strong analytical skills and knowledge of data analysis tools.
Frontend Developer,WebTech India,Mumbai India,₹7 00 000 - ₹11 00 000,"HTML CSS JavaScript React Vue.js TypeScript Sass",Entry Level,Join our team to build modern web applications using latest frontend technologies.
Machine Learning Engineer,AI Innovations,Pune India,₹9 00 000 - ₹14 00 000,"Python TensorFlow PyTorch Scikit-learn OpenCV NumPy",Entry Level,Looking for ML enthusiasts to work on cutting-edge AI projects.
Full Stack Developer,Digital Solutions,Chennai India,₹8 50 000 - ₹13 00 000,"JavaScript React Node.js MongoDB Express.js Redis GraphQL",Entry Level,Join us to work on end-to-end web development projects.
DevOps Engineer,CloudTech Systems,Bangalore India,₹9 50 000 - ₹14 50 000,"Docker Kubernetes AWS Jenkins Terraform Git Linux",Entry Level,Join our cloud infrastructure team to build and maintain scalable systems.
UI/UX Designer,Creative Solutions,Delhi India,₹7 00 000 - ₹10 00 000,"Figma Adobe-XD UI-Design User-Research Sketch Prototyping",Entry Level,Create beautiful and intuitive user interfaces for web and mobile applications.
Mobile App Developer,AppWorks Technologies,Pune India,₹8 00 000 - ₹12 50 000,"React-Native Flutter iOS Android Kotlin Swift",Entry Level,Develop cross-platform mobile applications using modern frameworks.
Quality Assurance Engineer,QA Solutions,Hyderabad India,₹6 50 000 - ₹9 50 000,"Manual-Testing Selenium Test-Planning JIRA Postman Cypress",Entry Level,Ensure software quality through comprehensive testing and automation.
Business Analyst,Business Solutions Inc,Mumbai India,₹7 50 000 - ₹11 00 000,"Requirements-Analysis SQL Excel Communication JIRA Agile",Entry Level,Bridge the gap between business needs and technical solutions.